"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
1138,"Pierce Johnson","RP",31.6,"R","R","SD","COL","1","$5,000,000 ","$5,000,000 ",NA,NA,NA,NA,NA,14.3,5.02,1.54,1,0,-0.03,1,1,5e+06,2,2
1144,"Rafael Montero","RP",32,"R","R","HOU","HOU","3","$34,500,000 ","$11,500,000 ",NA,NA,NA,NA,NA,68.3,2.37,1.02,5,14,1.22,1,2,11500000,3,2
1146,"Raimel Tapia","LF",29.3,"L","L","BOS","MIL","1","$720,000 ","$720,000 ",109,52,7,0.265,0.672,NA,NA,NA,NA,NA,0.19,3,1,720000,1,2
1168,"Rich Hill","SP",42.8,"L","L","BOS","PIT","1","$8,000,000 ","$8,000,000 ",NA,NA,NA,NA,NA,124.3,4.27,1.3,8,NA,0.85,1,1,8e+06,3,3
1180,"Robbie Grossman","RF",33.4,"","L","ATL","TEX","1","$2,000,000 ","$2,000,000 ",86,45,7,0.209,0.621,NA,NA,NA,NA,NA,0.08,3,1,2e+06,1,2
1200,"Ross Stripling","SP",33,"R","R","TOR","SF","2","$25,000,000 ","$12,500,000 ",NA,NA,NA,NA,NA,134.3,3.02,1.02,10,NA,2.75,1,2,12500000,3,2
1225,"Ryan Tepera","RP",35.7,"R","R","LAA","STL","-","-","-",NA,NA,NA,NA,NA,57.3,3.61,1.08,5,6,0.52,1,NA,NA,NA,3
1230,"Ryan Yarbrough","SP",30.9,"R","L","TB","KC","1","$3,000,000 ","$3,000,000 ",NA,NA,NA,NA,NA,80,4.5,1.38,3,NA,0.06,1,1,3e+06,1,2
1260,"Sean Manaea","SP",30.8,"R","L","SD","SF","2","$25,000,000 ","$12,500,000 ",NA,NA,NA,NA,NA,158,4.96,1.3,8,NA,-1.18,1,2,12500000,3,2
1275,"Seth Lugo","SP",33.1,"R","R","NYM","SD","2","$15,000,000 ","$7,500,000 ",NA,NA,NA,NA,NA,65,3.6,1.17,4,NA,0.74,1,2,7500000,3,2
