"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
689,"Joe Kelly","RP",33.8,"R","R","LAD","CHW",2,"$17,000,000 ",8500000,NA,NA,NA,NA,NA,44,2.86,0.98,2,2,0.7,1,2,8500000,3,2
695,"Joe Smith","RP",37.9,"R","R","SEA","MIN",1,"$2,500,000 ",2500000,NA,NA,NA,NA,NA,39.7,4.99,1.39,4,0,-0.49,1,1,2500000,1,3
697,"Joely Rodriguez","RP",29.9,"L","L","NYY","NYY",1,"$2,500,000 ",2500000,NA,NA,NA,NA,NA,46.3,4.66,1.53,2,1,-0.63,1,1,2500000,1,2
704,"Johan Camargo","3B",27.9,"","R","ATL","PHI",1,"$1,400,000 ",1400000,NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,-0.36,2,1,1400000,1,2
709,"John Curtiss","RP",29,"R","R","MIL","NYM",1,"$770,000 ",770000,NA,NA,NA,NA,NA,44.3,3.45,1.22,3,0,0.92,1,1,770000,1,2
720,"Jon Gray","SP",30,"R","R","COL","TEX",4,"$56,000,000 ",1.4e+07,5,3,NA,0.106,0.212,149,4.59,1.33,8,NA,1.48,1,2,1.4e+07,3,2
736,"Jordan Lyles","SP",31.1,"R","R","TEX","BAL",1,"$7,000,000 ",7e+06,NA,NA,NA,NA,NA,180,5.15,1.39,10,NA,-0.07,1,1,7e+06,3,2
751,"Jorge Soler","DH",30,"R","R","ATL","MIA",3,"$36,000,000 ",1.2e+07,115,70,27,0.223,0.748,NA,NA,NA,NA,NA,-1.35,4,2,1.2e+07,3,2
787,"Jose Iglesias","SS",32.2,"R","R","BOS","COL",1,"$5,000,000 ",5e+06,131,48,9,0.271,0.7,NA,NA,NA,NA,NA,-1.09,2,1,5e+06,2,2
792,"Jose Quintana","SP",32.8,"R","L","SF","PIT",1,"$2,000,000 ",2e+06,1,NA,NA,1,2,63,6.43,1.73,0,NA,-0.88,1,1,2e+06,1,2
763,"Josh Harrison","2B",34.7,"R","R","OAK","CHW",1,"$5,500,000 ",5500000,141,60,8,0.279,0.741,NA,NA,NA,NA,NA,2.55,2,1,5500000,3,3
819,"Justin Upton","LF",34.7,"R","R","LAA","SEA",1,"$700,000 ",7e+05,67,41,17,0.211,0.705,NA,NA,NA,NA,NA,-0.71,3,1,7e+05,1,3
831,"Kendall Graveman","RP",30.9,"R","R","HOU","CHW",3,"$24,000,000 ",8e+06,NA,NA,NA,NA,NA,56,1.77,0.98,5,10,1.67,1,2,8e+06,3,2
832,"Kenley Jansen","RP",34.4,"","R","LAD","ATL",1,"$16,000,000 ",1.6e+07,NA,NA,NA,NA,NA,69,2.22,1.04,4,38,2.29,1,1,1.6e+07,3,3
841,"Kevin Gausman","SP",30.8,"L","R","SF","TOR",5,"$110,000,000 ",2.2e+07,10,4,NA,0.185,0.396,192,2.81,1.04,14,NA,5.11,1,2,2.2e+07,3,2
859,"Kole Calhoun","RF",34.1,"L","L","ARI","TEX",1,"$5,200,000 ",5200000,39,17,5,0.235,0.67,NA,NA,NA,NA,NA,-0.09,3,1,5200000,3,3
862,"Kris Bryant","RF",30.2,"R","R","SF","COL",7,"$182,000,000 ",2.6e+07,136,73,25,0.265,0.834,NA,NA,NA,NA,NA,2.17,3,2,2.6e+07,3,2
864,"Kurt Suzuki","C",38.4,"R","R","LAA","LAA",1,"$1,750,000 ",1750000,49,16,6,0.224,0.636,NA,NA,NA,NA,NA,-0.43,2,1,1750000,1,3
887,"Kyle Schwarber","LF",29,"L","R","BOS","PHI",4,"$79,000,000 ",19750000,106,71,32,0.266,0.928,NA,NA,NA,NA,NA,1.83,3,2,19750000,3,2
900,"Leury Garcia","2B",30.7,"","R","CHW","CHW",3,"$16,500,000 ",5500000,111,54,5,0.267,0.711,NA,NA,NA,NA,NA,2.11,2,2,5500000,3,2
917,"Luis A. Garcia","RP",34.8,"R","R","STL","SD",2,"$7,000,000 ",3500000,NA,NA,NA,NA,NA,33.3,3.24,0.99,1,2,0.35,1,2,3500000,1,3
1762,"Luis A. Garcia","RP",34.8,"R","R","STL","SD",2,"$7,000,000 ",3500000,NA,NA,NA,NA,NA,33.3,3.24,0.99,1,2,0.35,1,2,3500000,1,3
917,"Luis A. Garcia","RP",34.8,"R","R","STL","SD",2,"$7,000,000 ",3500000,NA,NA,NA,NA,NA,33.3,3.24,0.99,1,2,0.35,1,2,3500000,1,3
1762,"Luis A. Garcia","RP",34.8,"R","R","STL","SD",2,"$7,000,000 ",3500000,NA,NA,NA,NA,NA,33.3,3.24,0.99,1,2,0.35,1,2,3500000,1,3
940,"Luke Maile","C",31.1,"R","R","MIL","CLE",1,"$900,000 ",9e+05,9,3,NA,0.3,0.815,1,NA,NA,NA,NA,0.25,2,1,9e+05,1,2
2051,"Manuel Pina","C",34.4,"R","R","MIL","ATL",2,"$8,000,000 ",4e+06,34,33,13,0.189,0.732,NA,NA,NA,NA,NA,1.3,2,2,4e+06,2,3
958,"Marcus Semien","2B",31.2,"R","R","TOR","TEX",7,"$175,000,000 ",2.5e+07,173,102,45,0.265,0.872,NA,NA,NA,NA,NA,7.25,2,2,2.5e+07,3,2
959,"Marcus Stroman","SP",30.6,"R","R","NYM","CHC",3,"$71,000,000 ",23666667,5,1,NA,0.098,0.301,179,3.02,1.15,10,NA,3.36,1,2,23666667,3,2
961,"Mark Canha","LF",32.8,"R","R","OAK","NYM",2,"$26,500,000 ",13250000,120,61,17,0.231,0.745,NA,NA,NA,NA,NA,2.54,3,2,13250000,3,2
962,"Mark Melancon","RP",36.7,"R","R","SD","ARI",2,"$14,000,000 ",7e+06,NA,NA,NA,NA,NA,64.7,2.23,1.22,4,39,2.13,1,2,7e+06,3,3
965,"Martin Perez","SP",30.9,"L","L","BOS","TEX",1,"$4,000,000 ",4e+06,NA,NA,NA,NA,NA,114,4.74,1.51,7,NA,0.51,1,1,4e+06,2,2
989,"Matthew Boyd","SP",31.1,"L","L","DET","SF",1,"$5,200,000 ",5200000,1,NA,NA,0.333,0.833,78.7,3.89,1.27,3,NA,1.35,1,1,5200000,3,2
974,"Matt Carpenter","3B",36.5,"L","R","TEX","NYY",1,"$2,000,000 ",2e+06,35,21,3,0.169,0.58,1.3,NA,NA,NA,NA,-1.05,2,1,2e+06,1,3
976,"Matt Duffy","3B",31.2,"R","R","CHC","LAA",1,"$1,500,000 ",1500000,83,30,5,0.287,0.738,0.3,NA,NA,NA,NA,1.64,2,1,1500000,1,2
