PlayerID,Player
867,Kyle Barraclough
868,Kyle Cody
869,Kyle Crick
870,Kyle Dohy
871,Kyle Farmer
872,Kyle Finnegan
873,Kyle Freeland
874,Kyle Funkhouser
875,Kyle Garlick
876,Kyle Gibson
877,Kyle Hendricks
878,Kyle Higashioka
879,Kyle Isbel
880,Kyle Keller
881,Kyle Lewis
882,Kyle Lobstein
883,Kyle McGowin
884,Kyle Muller
885,Kyle Nelson
886,Kyle Ryan
887,Kyle Schwarber
888,Kyle Seager
889,Kyle Tucker
890,Kyle Tyler
891,Kyle Wright
892,Kyle Zimmer
893,L. Javy Guerra
894,LaMonte Wade Jr.
895,Lance Lynn
896,Lance McCullers Jr.
897,Lane Thomas
898,Lars Nootbaar
899,Leody Taveras
900,Leury Garcia
901,Lewin Diaz
902,Lewis Brinson
903,Lewis Thorpe
904,Liam Hendriks
905,Ljay Newsome
906,Logan Allen
907,Logan Gilbert
908,Logan Webb
909,Lorenzo Cain
910,Lou Trivino
911,Louis Head
912,Lourdes Gurriel Jr.
913,Lucas Gilbreath
914,Lucas Giolito
915,Lucas Luetge
916,Lucas Sims
917,Luis A. Garcia
918,Luis Arraez
919,Luis Avila?n
920,Luis Barrera
921,Luis Campusano
922,Luis M. Castillo
923,Luis Cessa
924,Luis Frias
925,Luis Gil
926,Luis Gonzalez
927,Luis Guillorme
928,Luis H. Garcia
929,Luis Marte
930,Luis Oviedo
931,Luis Patino
932,Luis Rengifo
933,Luis Robert Jr.
934,Luis Severino
935,Luis Torrens
936,Luis Urias
937,Luis V. Garcia
938,Luke Farrell
939,Luke Jackson
940,Luke Maile
941,Luke Raley
942,Luke Voit
943,Luke Weaver
944,Luke Williams
945,Luis Madero
946,Mac Sceroler
947,Madison Bumgarner
948,Magneuris Sierra
949,Maikel Franco
950,Manny Barreda
951,Manny Machado
952,Manny Pina
953,Manuel Margot
954,Manuel Rodriguez
955,Marcell Ozuna
956,Marco Gonzales
957,Marcos Diplan
958,Marcus Semien
959,Marcus Stroman
960,Mario Feliciano
961,Mark Canha
962,Mark Melancon
963,Mark Payton
964,Martin Maldonado
965,Martin Perez
966,Marwin Gonzalez
967,Mason Thompson
968,Mason Williams
969,Matt Adams
970,Matt Andriese
971,Matt Barnes
972,Matt Beaty
973,Matt Bush
974,Matt Carpenter
975,Matt Chapman
976,Matt Duffy
977,Matt Foster
978,Matt Harvey
979,Matt Joyce
980,Matt Manning
981,Matt Moore
982,Matt Olson
983,Matt Peacock
984,Matt Shoemaker
985,Matt Strahm
986,Matt Thaiss
987,Matt Vierling
988,Matt Wisler
989,Matthew Boyd
990,Mauricio Dubon
991,Mauricio Llovera
992,Max Fried
993,Max Kepler
994,Max Kranick
995,Max Moroff
996,Max Muncy
997,Max Scherzer
998,Max Schrock
999,Max Stassi
1000,Merrill Kelly
1001,Michael A. Taylor
1002,Michael Brantley
1003,Michael Chavis
1004,Michael Conforto
1005,Michael Feliz
1006,Michael Fulmer
1007,Michael Hermosillo
1008,Michael King
1009,Michael Kopech
1010,Michael Lorenzen
1011,Michael Pineda
1012,Michael Perez
1013,Michael Rucker
1014,Michael Wacha
1015,Mickey Jannis
1016,Mickey Moniak
1017,Miguel Aguilar
1018,Miguel Andujar
1019,Miguel Cabrera
1020,Miguel Castro
1021,Miguel Del Pozo
1022,Miguel Diaz
1023,Miguel Rojas
1024,Miguel Sano
1025,Miguel Sanchez
1026,Miguel Yajure
1027,Mike Baumann
1028,Mike Brosseau
1029,Mike Fiers
1030,Mike Foltynewicz
1031,Mike Ford
1032,Mike Freeman
1033,Mike Kickham
1034,Mike Mayers
1035,Mike Minor
1036,Mike Moustakas
1037,Mike Tauchman
1038,Mike Trout
1039,Mike Wright Jr.
1040,Mike Yastrzemski
1041,Mike Zunino
1042,Miles Mikolas
1043,Mitch Garver
1044,Mitch Haniger
1045,Mitch Keller
1046,Mitch Moreland
1047,Mitch White
1048,Monte Harrison
1049,Mookie Betts
1050,Mychal Givens
1051,Myles Straw
1052,Nabil Crismatt
1053,Nate Jones
1054,Nate Pearson
1055,Nathan Eovaldi
1056,Nathaniel Lowe
1057,Neftali Feliz
1058,Nelson Cruz
1059,Nestor Cortes
1060,Nick Ahmed
1061,Nick Allgeyer
1062,Nick Anderson
1063,Nick Castellanos
1064,Nick Ciuffo
1065,Nick Fortes
1066,Nick Gordon
1067,Nick Heath
1068,Nick Madrigal
1069,Nick Margevicius
1070,Nick Martini
1071,Nick Maton
1072,Nick Mears
1073,Nick Neidert
1074,Nick Nelson
1075,Nick Pivetta
1076,Nick Ramirez
1077,Nick Sandlin
1078,Nick Senzel
1079,Nick Solak
1080,Nick Tropeano
1081,Nick Vincent
1082,Nick Williams
1083,Nick Wittgren
1084,Nicklaus Snyder
1085,Nicky Lopez
1086,Nico Hoerner
1087,Niko Goodrum
1088,Nivaldo Rodriguez
1089,Noah Syndergaard
1090,Nolan Arenado
1091,Nomar Mazara
1092,Noe Ramirez
1093,Odubel Herrera
1094,Oliver Ortega
1095,Oliver Perez
1096,Omar Narvaez
1097,Oneil Cruz
1098,Orlando Arcia
1099,Otto Lopez
1100,Owen Miller
1101,Ozzie Albies
1102,P.J. Higgins
1103,Pablo Lopez
1104,Pablo Reyes
1105,Pablo Sandoval
1106,Packy Naughton
1107,Paolo Espino
1108,Pat Valaika
1109,Patrick Corbin
1110,Patrick Kivlehan
1111,Patrick Mazeika
1112,Patrick Murphy
1113,Patrick Sandoval
1114,Patrick Weigel
1115,Patrick Wisdom
1116,Paul Blackburn
1117,Paul Campbell
1118,Paul DeJong
1119,Paul Fry
1120,Paul Goldschmidt
1121,Paul Sewald
1122,Pavin Smith
1123,Payton Henry
1124,Pedro Avila
1125,Pedro Baez
1126,Pedro Severino
1127,Pedro Strop
1128,Pete Alonso
1129,Pete Fairbanks
1130,Pete Kozma
1131,Peter Lambert
1132,Peter Solomon
1133,Phil Bickford
1134,Phil Gosselin
1135,Phil Maton
1136,Phillip Evans
1137,Phillips Valdez
1138,Pierce Johnson
1139,Preston Guilmet
1140,R.J. Alaniz
