"PlayerID","Player","Pos","Age","Bats","Throws","BaseSalary","Team","dummy_Pos","contract_value","dummy_salary","dummy_age"
249,"Cedric Mullins","CF",27,"","","$716,500 "," BAL",3,716500,1,2
250,"Chad Green","RP",31,"","R","$4,000,000 "," NYY",1,4e+06,2,2
251,"Chad Kuhl","SP",29,"","R","$3,000,000 "," COL",1,3e+06,1,2
252,"Chad Pinder","LF",30,"R","","$2,725,000 "," OAK",3,2725000,1,2
254,"Chadwick Tromp","C",27,"R","","$700,000 "," ATL",2,7e+05,1,2
257,"Charlie Blackmon","DH",36,"L","","$21,000,000 "," COL",4,2.1e+07,3,3
258,"Charlie Culberson","3B",33,"R","","$1,750,000 "," TEX",2,1750000,1,2
259,"Charlie Morton","SP",38,"","R","$20,000,000 "," ATL",1,2e+07,3,3
260,"Chas McCormick","CF",27,"R","","$703,800 "," HOU",3,703800,1,2
261,"Chase Anderson","SP",34,"","R","$700,000 "," CIN",1,7e+05,1,2
262,"Chase De Jong","RP",28,"","R","$700,000 "," PIT",1,7e+05,1,2
266,"Chris Archer","SP",33,"","R","$2,750,000 "," MIN",1,2750000,1,2
267,"Chris Bassitt","SP",33,"","R","$8,650,000 "," NYM",1,8650000,3,2
270,"Chris Flexen","RP",28,"","R","$2,750,000 "," SEA",1,2750000,1,2
272,"Chris Martin","RP",36,"","R","$2,500,000 "," LAD",1,2500000,1,3
275,"Chris Paddack","SP",26,"","R","$2,250,000 "," MIN",1,2250000,1,2
276,"Chris Rodriguez","SP",23,"","R","$710,000 "," LAA",1,710000,1,1
277,"Chris Sale","SP",33,"","L","$30,000,000 "," BOS",1,3e+07,3,2
278,"Chris Stratton","RP",31,"","R","$2,700,000 "," STL",1,2700000,1,2
279,"Chris Taylor","LF",31,"R","","$15,000,000 "," LAD",3,1.5e+07,3,2
280,"Christian Arroyo","2B",27,"R","","$1,200,000 "," BOS",2,1200000,1,2
281,"Christian Vazquez","C",31,"R","","$7,000,000 "," HOU",2,7e+06,3,2
282,"Christian Walker","1B",31,"R","","$2,600,000 "," ARI",2,2600000,1,2
283,"Christian Yelich","LF",30,"L","","$26,000,000 "," MIL",3,2.6e+07,3,2
284,"Cionel Perez","RP",26,"","L","$705,000 "," BAL",1,705000,1,2
285,"Clarke Schmidt","RP",26,"","R","$712,500 "," NYY",1,712500,1,2
