"Team1","Team1Acquired1","Team1Position1","Team1Cash1","Team1Acquired2","Team1Position2","Team1Cash2","Team1Acquired3","Team1Position3","Team1Cash3","Team1Acquired4","Team1Position4","Team1Cash4","Team1Acquired5","Team1Position5","Team1Cash5","Team1Acquired6","Team2","Team2Acquired1","Team2Position1","Team2Cash1","Team2Acquired2","Team2Position2","Team2Cash2","Team2Acquired3","Team2Position3","Team2Cash3","Team2Acquired4","Team2Acquired5","Team2Acquired6","Date"
"Cincinnati Reds","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","Bennett Sousa","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-04-09
"Chicago White Sox","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Jose Ruiz","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-04-09
"Seattle Mariners","Nick Solak","LF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cincinnati Reds","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-31
"St. Louis Cardninals","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Anthony Misiewicz","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-31
"Tampa Bay Rays","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Detroit Tigers","Dillon Paulson","1B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-31
"New York Yankees","Colten Brewer","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Tampa Bay Rays","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-30
"Kansas City Royals","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","Matt Beaty","3B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-30
"Kansas City Royals","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Richard Lovelady","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-30
"Oakland Athletics","Billy Sullivan","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Philadelphia Phillies","Cristian Pache","CF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-29
"Tampa Bay Rays","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Detroit Tigers","Grant Witherspoon","OF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-29
"Tampa Bay Rays","Tony Locey","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","future considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-29
"Philadelphia Phillies","T.J. Zeuch","SP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","TBD",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-28
"Baltimore Orioles","Daniel Coulombe","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Minnesota Twins","TBD",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-27
"Detroit Tigers","Zach McKinstry","2B",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago Cubs","Carlos Guzman","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-27
"Cincinnati Reds","Will Benson","OF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cleveland Gaurdians","Justin Boyd","OF",NA,"Steven Hajjar","P",NA,"",NA,NA,NA,NA,NA,2023-03-25
"Philadelphia Phillies","Esteban Quiroz","2B",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago Cubs","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-23
"Tampa Bay Rays","future considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Philadelphia Phillies","Jordan Qsar","OF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-20
"Tampa Bay Rays","Victor Castaneda","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","future considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-15
"Texas Rangers","Ricky DeVito","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","Mark Mathias","2B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-03-11
"Oakland Athletics","J.J. Bleday","OF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","A.J. Puk","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-02-11
"Kansas City Royals","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"St. Louis Cardninals","Anthony Misiewicz","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-02-08
"Boston Red Sox","Theo Denlinger","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago White Sox","Frank German","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-02-03
"Boston Red Sox","Richard Bleier","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","Matt Barnes","RP","8375000","",NA,NA,"",NA,NA,NA,NA,NA,2023-01-30
"Baltimore Orioles","Cole Irvin","SP",NA,"Kyle Virbitsky","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Oakland Athletics","Darell Hernaiz","SS",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-26
"Boston Red Sox","Adalberto Mondesi","SSPTBNL",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Kansas City Royals","Josh Taylor","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-24
"Kansas City Royals","Evan Sisk","P",NA,"Steven Cruz",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Minnesota Twins","Michael Taylor","CF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-23
