"PlayerID","PLAYER","AGE","AVG. SALARY","H","RBI","HR","AVG","OPS","WAR","Predicted_Salary","Model_Error","Model_Difference"
18,"Alex Avila",32.8,4250000,34,24,9,0.207,0.774,1.44,4284866.72994243,-0.00820393645704121,0.00817042164703147
45,"Austin Romine",31,4150000,64,35,8,0.281,0.749,0.71,2678466.67349834,0.35458634373534,0.430999636334981
22,"Alex Gordon",35.9,4e+06,148,76,13,0.266,0.741,0.92,4534764.46941171,-0.133691117352927,0.125314405881564
154,"Eric Thames",33.1,4e+06,98,61,25,0.247,0.851,1.35,6029107.38063233,-0.507276845158082,0.40464366441042
415,"Travis Shaw",29.7,4e+06,36,16,7,0.157,0.551,-1.46,1901178.25092495,0.524705437268763,0.711322945971369
175,"Hunter Pence",36.8,3e+06,85,59,18,0.297,0.91,1.61,4591020.30497572,-0.530340101658574,0.419184837098341
337,"Mitch Moreland",34.3,3e+06,75,58,19,0.252,0.835,1.33,4695968.56277985,-0.565322854259951,0.440742071370222
245,"Jose Iglesias",30,3e+06,145,59,11,0.288,0.725,0.98,4091481.4862107,-0.363827162070234,0.30782890382865
396,"Stephen Vogt",35,3e+06,67,40,10,0.263,0.804,1.09,3581459.05997625,-0.193819686658751,0.176696095706885
294,"Maikel Franco",27.2,2950000,91,56,17,0.234,0.706,-0.24,3975965.49340553,-0.347784913018824,0.296266417839474
247,"Jose Peraza",25.6,2850000,90,33,6,0.239,0.631,-1.16,2878561.66072681,-0.0100216353427415,0.00997166912686748
43,"Asdrubal Cabrera",34.1,2500000,116,91,18,0.26,0.783,-0.23,4674756.54774362,-0.869902619097449,0.606224485324888
204,"Jarrod Dyson",35.4,2e+06,92,27,7,0.23,0.633,1.45,2838833.18680792,-0.419416593403959,0.346708867375228
378,"Ryan Zimmerman",35.2,2e+06,44,27,6,0.257,0.736,0.53,2342667.50154398,-0.17133375077199,0.157814293367912
318,"Matt Wieters",33.6,2e+06,36,27,11,0.214,0.703,0.51,2730749.77415117,-0.365374887075585,0.308936134455468
211,"Jedd Gyorko",31.2,2e+06,16,9,2,0.174,0.498,0,1422588.94177264,0.288705529113678,0.337411864556719
158,"Francisco Cervelli",33.8,2e+06,30,12,3,0.213,0.65,-0.07,1972398.95594563,0.0138005220271867,0.0138964108894762
134,"Domingo Santana",27.5,1500000,114,69,21,0.253,0.77,0.49,5329570.05614461,-2.55304670409641,1.12146739096676
76,"Cameron Maybin",32.8,1500000,68,32,11,0.285,0.858,1.61,4135833.29290298,-1.75722219526865,0.935383697818811
314,"Matt Joyce",35.4,1500000,59,23,7,0.295,0.858,0.84,3209312.9566443,-1.1395419710962,0.725928802091037
14,"Adeiny Hechavarria",30.8,1e+06,49,33,9,0.241,0.742,-0.32,2750258.10059365,-1.75025810059365,0.933406743560711
166,"Guillermo Heredia",28.9,1e+06,46,20,5,0.225,0.669,0.25,2578284.38331152,-1.57828438331152,0.882145863348569
380,"Ryon Healy",27.9,1e+06,40,26,7,0.237,0.745,0.11,2992111.11873044,-1.99211111873044,0.998023882343217
273,"Kevin Plawecki",28.8,9e+05,35,17,3,0.222,0.629,-0.1,1989776.98782268,-1.21086331980297,0.75422912730977
291,"Luke Maile",28.8,9e+05,18,9,2,0.151,0.44,-0.52,1318040.52906436,-0.464489476738176,0.376945798407662
299,"Marco Hernandez",27.2,650000,37,11,2,0.25,0.617,-0.09,1655295.9987338,-1.54660922882122,0.87216218592837
140,"Dustin Garneau",32.2,650000,21,14,3,0.244,0.757,0.67,2569743.67360407,-2.95345180554473,1.19248230183192
162,"George Springer",31.3,2.5e+07,50,32,14,0.265,0.899,2.2,5582257.64271804,0.776709694291278,1.26986977770789
184,"J.T. Realmuto",29.8,23100000,46,32,11,0.266,0.84,1.32,4062811.32284647,0.824120721954699,1.40170974579067
112,"D.J. LeMahieu",32.5,1.5e+07,71,27,10,0.364,1.011,3.04,4793387.29895352,0.680440846736432,1.0313154132629
297,"Marcell Ozuna",30.2,16250000,77,56,18,0.338,1.067,2.64,7297276.24959863,0.550936846178546,0.760404189045345
199,"James McCann",30.4,10150000,28,15,7,0.289,0.896,1.31,3775949.21220689,0.627985299289961,0.915420656885046
261,"Justin Turner",36.2,1.7e+07,46,23,4,0.307,0.86,1.45,2903485.34376641,0.829206744484329,1.4164870536756
321,"Michael Brantley",33.7,1.6e+07,51,22,5,0.3,0.84,1.63,3144916.26197786,0.803442733626384,1.34292399738019
133,"Didi Gregorius",30.9,1.4e+07,61,40,10,0.284,0.827,1.2,3592039.1802977,0.743425772835879,1.18325803086646
186,"Jackie Bradley Jr.",30.8,1.2e+07,54,22,7,0.283,0.814,2.02,3644132.81396921,0.696322265502566,1.06824293623607
258,"Jurickson Profar",27.9,7e+06,50,25,7,0.278,0.771,1.29,3093914.19183764,0.558012258308909,0.773948685103938
410,"Tommy La Stella",31.9,6250000,55,25,5,0.281,0.819,0.25,3022882.32366715,0.516338828213256,0.696033350514173
279,"Kolten Wong",30.2,9e+06,48,16,1,0.265,0.676,1.28,2251045.39887596,0.749883844569338,1.19970266972673
