"Player","Pos","Age","Bats","Throws","BaseSalary","Team"
"Hunter Goodman","C","23","","","$720,000 "," COL"
"Austin Wynns","C","32","R","","$720,000 "," COL"
"Carson Kelly","C","28","R","","$720,000 "," DET"
"Freddy Fermin","C","28","","","$720,000 "," KC"
"Logan Porter","C","27","","","$720,000 "," KC"
"Francisco Alvarez","C","21","","","$720,000 "," NYM"
"Allan Winans","P","27","","","$720,000 "," ATL"
"Austin Wells","C","23","","","$720,000 "," NYY"
"Lawrence Butler","OF","22","","","$720,000 "," OAK"
"Chandler Seagle","C","27","","","$720,000 "," SD"
"Brett Sullivan","C","29","","","$720,000 "," SD"
"Nelson Velazquez","CF","24","R","","$720,000 "," KC"
"Blake Sabol","C","25","","","$720,000 "," SF"
"Luis Torrens","C","27","R","","$720,000 "," SEA"
"Ivan Herrera","C","23","R","","$720,000 "," STL"
"Drew Millas","C","25","","","$720,000 "," WSH"
"Luis Matos","OF","21","","","$720,000 "," SF"
"Blake Perkins","RF","26","","","$720,000 "," MIL"
"Darin Ruf","1B","36","R","","$720,000 "," MIL"
"Jake Bauers","1B","27","L","","$720,000 "," NYY"
"Weston Wilson","1B","28","R","","$720,000 "," PHI"
"Kole Calhoun","RF","35","L","","$720,000 "," CLE"
"Mike Ford","1B","30","L","","$720,000 "," SEA"
"Luken Baker","1B","26","","","$720,000 "," STL"
"Jacob Young","OF","23","","","$720,000 "," WSH"
"Enmanuel Valdez","2B","24","","","$720,000 "," BOS"
"Emerson Hancock","P","24","","R","$720,000 "," SEA"
"Andy Ibanez","2B","30","R","","$720,000 "," DET"
"Zack Short","2B","28","R","","$720,000 "," DET"
"Kolten Wong","2B","32","L","","$720,000 "," LAD"
"Edouard Julien","2B","24","","","$720,000 "," MIN"
"Ronny Mauricio","2B","22","","","$720,000 "," NYM"
"Jose Fermin","2B","24","","","$720,000 "," STL"
"Irving Lopez","2B","28","","","$720,000 "," STL"
"Juniel Querecuto","2B","30","","","$720,000 "," STL"
"Emmanuel Rivera","3B","27","R","","$720,000 "," ARI"
"Zach Remillard","3B","29","R","","$720,000 "," CHW"
"Christian Encarnacion-Strand","3B","23","","","$720,000 "," CIN"
"Nolan Jones","3B","25","L","","$720,000 "," COL"
"Andre Lipcius","3B","25","","","$720,000 "," DET"
"Josh Donaldson","3B","37","R","","$720,000 "," MIL"
"Brett Baty","3B","23","","","$720,000 "," NYM"
"Andrew Stevenson","OF","29","L","","$720,000 "," MIN"
"Jordan Diaz","3B","22","R","","$720,000 "," OAK"
"Jacob Lopez","P","25","","","$720,000 "," TB"
"Casey Schmitt","3B","24","","","$720,000 "," SF"
"Jordan Walker","3B","21","","","$720,000 "," STL"
"Juan Yepez","3B","25","R","","$720,000 "," STL"
"Jason Heyward","RF","33","L","","$720,000 "," LAD"
"Jake Alu","3B","26","","","$720,000 "," WSH"
"Travis Blankenhorn","3B","26","L","","$720,000 "," WSH"
"Jordan Lawlar","SS","20","R","","$720,000 "," ARI"
"Luke Williams","SS","26","R","","$720,000 "," ATL"
"Elly De La Cruz","SS","21","","","$720,000 "," CIN"
"Jose Espada","P","26","","","$720,000 "," SD"
"Everson Pereira","OF","22","R","","$720,000 "," NYY"
"Tyler Freeman","SS","24","R","","$720,000 "," CLE"
"Rafael Ortega","OF","32","L","","$720,000 "," NYM"
"Parker Meadows","OF","23","","","$720,000 "," DET"
"Grae Kessinger","SS","25","","","$720,000 "," HOU"
"Maikel Garcia","SS","23","","","$720,000 "," KC"
"Nick Loftin","SS","24","","","$720,000 "," KC"
"Xavier Edwards","SS","23","","","$720,000 "," MIA"
"Garrett Hampson","SS","28","R","","$720,000 "," MIA"
"Sal Frelick","SS","23","","","$720,000 "," MIL"
"Andruw Monasterio","SS","26","R","","$720,000 "," MIL"
"Brice Turang","SS","23","L","","$720,000 "," MIL"
"Oswald Peraza","SS","23","R","","$720,000 "," NYY"
"Anthony Volpe","SS","22","","","$720,000 "," NYY"
"Nick Allen","SS","24","R","","$720,000 "," OAK"
"Dominic Canzone","RF","25","L","","$720,000 "," SEA"
"Matt Batten","SS","28","","","$720,000 "," SD"
"Tyler Fitzgerald","SS","25","","","$720,000 "," SF"
"Marco Luciano","SS","21","R","","$720,000 "," SF"
"Jose Caballero","SS","26","","","$720,000 "," SEA"
"Masyn Winn","SS","21","","","$720,000 "," STL"
"Pablo Reyes","LF","29","R","","$720,000 "," BOS"
"Johan Rojas","OF","22","","","$720,000 "," PHI"
"Jurickson Profar","LF","30","","","$720,000 "," SD"
"Richard Palacios","LF","26","L","","$720,000 "," STL"
"Stone Garrett","LF","27","R","","$720,000 "," WSH"
"Cristian Pache","CF","24","R","","$720,000 ","PHI"
