"Player","Pos","Age","Bats","Throws","BaseSalary","Team"
"Seth Lugo","SP","33","","R","$7,500,000 "," SD"
"Ross Stripling","SP","33","","R","$7,500,000 "," SF"
"Aaron Loup","RP","35","","L","$7,500,000 "," LAA"
"Matt Barnes","RP","33","","R","$7,500,000 "," MIA"
"Matt Strahm","RP","31","","L","$7,500,000 "," PHI"
"Sean Manaea","RP","31","","L","$7,500,000 "," SF"
"Jorge Polanco","2B","29","","","$7,500,000 "," MIN"
"Anthony Santander","RF","28","","","$7,400,000 "," BAL"
"Antonio Senzatela","SP","28","","R","$7,250,000 "," COL"
"C.J. Cron","1B","33","R","","$7,250,000 "," LAA"
"Adam Duvall","RF","34","R","","$7,000,000 "," BOS"
"Manuel Margot","RF","28","R","","$7,000,000 "," TB"
"Fernando Tatis Jr.","RF","24","R","","$7,000,000 "," SD"
"Max Stassi","C","32","R","","$7,000,000 "," LAA"
"Ozzie Albies","2B","26","","","$7,000,000 "," ATL"
"Ha-seong Kim","2B","27","R","","$7,000,000 "," SD"
"Yordan Alvarez","LF","26","L","","$7,000,000 "," HOU"
"Framber Valdez","SP","29","","L","$6,800,000 "," HOU"
"Carlos Estevez","RP/CL","30","","R","$6,750,000 "," LAA"
"Bryan Reynolds","CF","28","","","$6,750,000 "," PIT"
"Whit Merrifield","2B","34","R","","$6,750,000 "," TOR"
"Carlos Santana","1B","37","","","$6,725,000 "," MIL"
"Marco Gonzales","SP","31","","L","$6,500,000 "," SEA"
"Daniel Hudson","RP/CL","36","","R","$6,500,000 "," LAD"
"Christian Walker","1B","32","R","","$6,500,000 "," ARI"
"Wilmer Flores","1B","31","R","","$6,500,000 "," SF"
"Aledmys Diaz","SS","32","R","","$6,500,000 "," OAK"
"David Peralta","LF","35","L","","$6,500,000 "," LAD"
"Alex Verdugo","RF","27","L","","$6,300,000 "," BOS"
"Jeff McNeil","2B","31","L","","$6,250,000 "," NYM"
"Luis Arraez","2B","26","L","","$6,100,000 "," MIA"
"Mike Yastrzemski","CF","32","L","","$6,100,000 "," SF"
"Sandy Alcantara","SP","27","","R","$6,000,000 "," MIA"
"Johnny Cueto","SP","37","","R","$6,000,000 "," MIA"
"Trevor Williams","SP","31","","R","$6,000,000 "," WSH"
"Mark Melancon","RP","38","","R","$6,000,000 "," ARI"
"Kirby Yates","RP","36","","R","$6,000,000 "," ATL"
"Chris Martin","RP","37","","R","$6,000,000 "," BOS"
"Trevor May","RP/CL","33","","R","$6,000,000 "," OAK"
