PLAYER,POS.,AGE,BATS,THROWS,FROM,TO,YRS,DOLLARS,AVG. SALARY,H,RBI,HR,AVG,OPS,IP,ERA,WHIP,W,SV,WAR
Trevor May,RP,33.2,R,R,NYM,OAK,1,"$7,000,000 ","$7,000,000 ",,,,,,25,5.04,1.44,2,1,-0.18
Andrew McCutchen,RF,36.2,R,R,MIL,PIT,1,"$5,000,000 ","$5,000,000 ",122,69,17,0.237,0.7,,,,,,1.1
Scott McGough,RP,33.1,R,R,,ARI,2,"$6,250,000 ","$3,125,000 ",,,,,,,,,,,
Danny Mendick,2B,29.2,R,R,CHW,NYM,1,"$1,000,000 ","$1,000,000 ",28,15,3,0.289,0.786,,,,,,0.52
Wade Miley,SP,36.1,L,L,CHC,MIL,1,"$4,500,000 ","$4,500,000 ",,,,,,37,3.16,1.22,2,,0.03
Shelby Miller,RP,32.1,R,R,SF,LAD,1,"$1,500,000 ","$1,500,000 ",,,,,,7,6.43,1.29,0,0,-0.19
Rafael Montero,RP,32,R,R,HOU,HOU,3,"$34,500,000 ","$11,500,000 ",,,,,,68.3,2.37,1.02,5,14,1.22
Matt Moore,RP,33.6,L,L,TEX,LAA,1,"$7,550,000 ","$7,550,000 ",,,,,,74,1.95,1.18,5,5,2.3
Wil Myers,1B,32,R,R,SD,CIN,1,"$7,500,000 ","$7,500,000 ",68,41,7,0.261,0.713,3.7,,,,,0.9
Omar Narvaez,C,30.8,L,R,MIL,NYM,2,"$15,000,000 ","$7,500,000 ",54,23,4,0.206,0.597,,,,,,0.21
Jimmy Nelson,RP,33.7,R,R,LAD,LAD,1,"$1,200,000 ","$1,200,000 ",,,,,,,,,,,
Brandon Nimmo QO,CF,29.7,L,R,NYM,NYM,8,"$162,000,000 ","$20,250,000 ",159,64,16,0.274,0.8,,,,,,4.34
Adam Ottavino,RP,37,,R,NYM,NYM,2,"$14,500,000 ","$7,250,000 ",,,,,,65.7,2.06,0.98,5,3,2.14
Joc Pederson QO,LF,30.5,L,L,SF,SF,1,"$19,650,000 ","$19,650,000 ",104,70,23,0.274,0.874,,,,,,1.41
David Peralta,LF,35.4,L,L,TB,LAD,1,"$6,500,000 ","$6,500,000 ",110,59,12,0.251,0.731,,,,,,0.94
