"Player","AvgSalary","LinearPredictedSalary","Linear_Model_Error","Linear_Model_Difference","ExpPredictedSalary","Exp_Model_Error","Exp_Model_Difference"
"Chase Anderson",4e+06,9270019.28,1.31750482,0.794274547580009,5676041.9556595,0.419010488914876,0.252605805657805
"Chris Bassitt",2.1e+07,11904548.83,-0.433116722380952,0.552838528009685,8913142.90226869,-0.575564623701491,0.734661773372281
"Chris Devenski",1100000,6832028.24,5.21093476363636,1.44528689675971,3905880.42581658,2.55080038710598,0.707481199239043
"Chris Flexen",1750000,1731223.61,-0.0107293657142858,0.0107872358133295,2292253.69989586,0.309859257083351,0.311530519520901
"Chris Martin",6750000,9248138.27,0.370094558518518,0.312303622813981,7397717.22887944,0.0959581079821392,0.0809740756015406
"Chris Stratton",4e+06,3994421.32,-0.00139466999999969,0.00139564323087209,2908952.29431159,-0.272761926422103,0.272952265590229
"Clayton Kershaw",2e+07,27915123.66,0.395756183,0.330381017741487,38805819.3657333,0.940290968286663,0.784963824748825
"Collin McHugh",5e+06,8301810.14,0.660362028,0.496445236437572,5018082.25117118,0.00361645023423564,0.00271876548843572
"Cooper Criswell",1e+06,1413802.62,0.413802619999996,0.342863676235464,1339967.17317979,0.339967173179791,0.28168597578189
"Corey Kluber",1e+07,14559733.59,0.455973359,0.371317838061288,8510748.41465113,-0.148925158534887,0.121275874584833
"Craig Kimbrel",1.3e+07,14555731.71,0.11967167,0.112915289375925,14969924.0065476,0.151532615888277,0.142977441301819
"Dakota Hudson",1500000,3876493.59,1.58432906,0.884031032574894,1980530.85436249,0.320353902908326,0.178752507119604
"Daniel Hudson",7e+06,3305192.69,-0.527829615714286,0.71707680218059,3584110.04813367,-0.487984278838047,0.662945381929841
"Daniel Norris",1750000,6315954.01,2.60911657714286,1.1321547344156,3827967.23799174,1.18740985028099,0.51524400843732
"Danny Duffy",3e+06,14706605.41,3.90220180333333,1.32228681206038,7331031.94705937,1.44367731568646,0.48919957798499
"David Robertson",1e+07,8795143.01,-0.120485699,0.128209398498214,5555808.51100195,-0.444419148899805,0.472908504780571
"Drew Rucinski",3e+06,1938881.61,-0.353706130000001,0.429699868833261,680725.763324321,-0.773091412225226,0.939190051439876
"Drew Smyly",9500000,9642920.81,0.0150442957894735,0.0149319752631833,10429433.5518927,0.097835110725545,0.0971046749989327
"Dylan Bundy",5e+06,8753934.24,0.750786848,0.545870610473415,5396889.34859795,0.0793778697195895,0.0577128466186337
"Dylan Floro",2250000,6638220.17,1.95032007555556,0.987423823008201,3326260.17742906,0.478337856635139,0.24217675909103
"Frankie Montas",1.6e+07,9347632.67,-0.415772958125,0.524890621274732,7156836.50220117,-0.552697718612427,0.697750643062228
